,27
,800
,990
,900
,720
,617
,514
,822
,810
,539
,720
,539
,514
,630
,617
,450
,629
,576
,647
,840
,850
,779
,785
,916
18:55:05,785
,780
,981
,935
,900
,771
,785
,771
,719
,458
,912
,925
,822
,900
,771
,960
,990
,981
,1080
,900
,854
,804
19:00:01,911
,768
,880
,809
,675
,775
,800
,762
,874
,720
,944
,585
,617
,498
,600
,523
,719
,540
,771
,886
,720
19:05:07,900
,830
,767
,659
,630
,874
,719
,771
,719
,830
,775
,720
,654
,720
,680
,600
,775
,720
,779
,719
,775
,609
19:10:03,886
,719
,886
,654
,720
,720
,720
,839
,775
,775
,874
,780
,584
,479
,623
,654
,720
,215
,0
,60
,479
,664
,600
,775
,822
19:15:15,765
,719
,800
,720
,623
,553
,664
,764
,720
,839
,960
,617
,719
,672
,672
,654
,764
,677
,675
19:20:10,804
,765
,609
,589
,540
,458
,419
,498
,479
,532
,462
,450
,480
,664
,720
,617
,648
,553
,664
,609
,553
,553
19:25:06,443
,458
,553
,664
,553
,479
,450
,550
,664
,720
,779
,624
,623
,514
,767
,771
,816
,672
,623
,527
,360
19:30:11,576
,584
,609
,675
,540
,480
,804
,830
,617
,639
,540
,629
,675
,720
,672
,494
,630
,672
,664
19:35:02,672
,480
,668
,576
,576
,600
,839
,668
,720
,775
,685
,771
,675
,553
,720
,609
,617
,494
,720
,576
,553
19:40:00,609
,527
,660
,523
,668
,672
,719
,675
,565
,609
,443
,664
,540
,589
,458
,523
,840
,600
,720
,647
,654
,589
,664
,479
,654
19:45:10,589
,431
,431
,400
,320
,72
